week,speaker,date,listeners,pol_label,pol_score,sen_label,sen_score
1,U0RFXPUFK,12/4/2016,,impolite,0.42134085,pos,0.775464358
1,U0RFXPUFK,12/4/2016,,polite,0.8734549,pos,0.642594926
1,U0RMHEX53,12/4/2016,,polite,0.7840215,pos,0.817105912
4,U0RMHEX53,7/5/2016,,polite,0.5724937,pos,0.497945318
4,U0RMHEX53,7/5/2016,,polite,0.73831946,pos,0.497945318
5,U0RFXPUFK,12/5/2016,,polite,0.84565187,pos,0.862747247
5,U0RMHEX53,12/5/2016,,polite,0.6481123,neu,0.455646266
5,U0RFXPUFK,12/5/2016,,impolite,0.077098265,pos,0.65355323
5,U0RMHEX53,12/5/2016,,polite,0.74245656,pos,0.726261575
7,U0RMHEX53,25/5/2016,,impolite,0.26690355,pos,0.566489507
7,U0RMHEX53,26/5/2016,,polite,0.84026045,pos,0.929373733
7,U0RMHEX53,26/5/2016,,polite,0.7971995,neu,0.455646266
7,U0RMHEX53,26/5/2016,,polite,0.763982,pos,0.629992877
10,U0RMHEX53,15/6/2016,,polite,0.6840756,pos,0.726261575
10,U0RMHEX53,15/6/2016,,polite,0.5323221,neg,0.305955838
10,U0RMHEX53,15/6/2016,,polite,0.92849594,pos,0.579639472
10,U0RMHEX53,15/6/2016,,polite,0.9340021,neu,0.455646266
10,U0RMHEX53,15/6/2016,,polite,0.7360027,neu,0.455646266
10,U0RFXPUFK,16/6/2016,,polite,0.61871773,pos,0.804613446
10,U0RFXPUFK,16/6/2016,,polite,0.79468507,pos,0.707029752
10,U0RFXPUFK,16/6/2016,,polite,0.92251664,pos,0.497945318
10,U0RMHEX53,18/6/2016,,polite,0.6209356,neu,0.455646266
11,U0RMHEX53,22/6/2016,,polite,0.82041025,pos,0.65355323
11,U0RMHEX53,22/6/2016,,polite,0.871389,pos,0.834146074
11,U0RMHEX53,22/6/2016,,polite,0.82041,pos,0.65355323
11,U0RMHEX53,22/6/2016,,polite,0.79992294,pos,0.605336694
11,U0RMHEX53,22/6/2016,,polite,0.80913216,pos,0.726261575
11,U0RFXPUFK,27/6/2016,,impolite,0.16393867,pos,0.65355323
12,U0RMHEX53,29/6/2016,,polite,0.93921185,pos,0.696948112
12,U0RMHEX53,29/6/2016,,polite,0.78833604,pos,0.952167005
12,U0RMHEX53,29/6/2016,,polite,0.68796325,pos,0.804175114
12,U0RMHEX53,29/6/2016,,polite,0.8337227,pos,0.579639472
13,U0RFXPUFK,5/7/2016,,polite,0.5857244,neu,0.455646266
13,U0RFXPUFK,5/7/2016,,impolite,0.055232797,pos,0.716837434
15,U0RMHEX53,20/7/2016,,polite,0.86151344,pos,0.675853378
15,U0RMHEX53,20/7/2016,,polite,0.6009448,neu,0.455646266
15,U0RMHEX53,23/7/2016,,polite,0.95884764,neu,0.455646266
16,U0RMHEX53,29/7/2016,,polite,0.5305579,pos,0.911621281
16,U0RMHEX53,29/7/2016,,polite,0.8378165,pos,0.65355323
16,U0RMHEX53,30/7/2016,,polite,0.61024535,neu,0.455646266
16,U0RMHEX53,30/7/2016,,polite,0.80663127,pos,0.60446003
17,U0RMHEX53,4/8/2016,,impolite,0.43878913,neu,0.455646266
17,U0RMHEX53,4/8/2016,,polite,0.6022816,pos,0.605336694
17,U0RMHEX53,8/8/2016,,polite,0.8234543,pos,0.870911183
17,U0RMHEX53,8/8/2016,,polite,0.83648217,pos,0.926360199
17,U0RMHEX53,8/8/2016,,polite,0.6522418,pos,0.858418717
17,U0RMHEX53,8/8/2016,,polite,0.61357695,neu,0.455646266
18,U0RFXPUFK,15/8/2016,,polite,0.8483515,pos,0.65355323
18,U0RFXPUFK,15/8/2016,,impolite,0.0896809,pos,0.776067065
18,U0RFXPUFK,15/8/2016,,impolite,0.061646637,neu,0.455646266
18,U0RMHEX53,15/8/2016,,impolite,0.46442467,pos,0.713933483
18,U0RFXPUFK,15/8/2016,,polite,0.69057095,neu,0.455646266
18,U0RFXPUFK,15/8/2016,,impolite,0.1866381,neu,0.455646266
18,U0RMHEX53,15/8/2016,,polite,0.542503,pos,0.648895951
18,U0RMHEX53,15/8/2016,,polite,0.8225709,neu,0.455646266
19,U0RMHEX53,17/8/2016,,polite,0.52608466,neu,0.455646266
20,U0RMHEX53,24/8/2016,,polite,0.92146164,pos,0.928223111
20,U0RMHEX53,24/8/2016,,polite,0.870985,pos,0.696948112
21,U0RMHEX53,31/8/2016,,polite,0.90225196,pos,0.870911183
22,U0RMHEX53,7/9/2016,,polite,0.50965214,neu,0.455646266
23,U0RFXPUFK,19/9/2016,,polite,0.92340267,pos,0.65355323
24,U0RFXPUFK,20/9/2016,,impolite,0.25794503,neg,0.127225905
25,U0RFXPUFK,28/9/2016,,polite,0.79965866,neu,0.455646266
25,U0RMHEX53,28/9/2016,,polite,0.5085981,pos,0.768998959
25,U0RFXPUFK,28/9/2016,,polite,0.5506116,neu,0.455646266
25,U0RFXPUFK,28/9/2016,,impolite,0.110188164,neu,0.455646266
25,U0RMHEX53,29/9/2016,,impolite,0.09066486,neu,0.455646266
26,U0RMHEX53,7/10/2016,,polite,0.8622988,neu,0.455646266
26,U0RFXPUFK,8/10/2016,,impolite,0.40649584,neg,0.293463372
27,U0RFXPUFK,14/10/2016,,impolite,0.24597816,pos,0.675853378
27,U0RMHEX53,14/10/2016,,polite,0.68366206,pos,0.797490548
27,U0RMHEX53,15/10/2016,,impolite,0.48574123,neu,0.455646266
28,U0RFXPUFK,18/10/2016,,impolite,0.3419126,pos,0.804613446
28,U0RMHEX53,18/10/2016,,polite,0.8114393,pos,0.797490548
28,U0RFXPUFK,19/10/2016,,polite,0.8090781,pos,0.65355323
28,U0RMHEX53,19/10/2016,,polite,0.77847344,pos,0.768998959
28,U0RMHEX53,19/10/2016,,polite,0.8490587,pos,0.892663416
28,U0RFXPUFK,19/10/2016,,impolite,0.29567906,pos,0.61782916
28,U0RMHEX53,19/10/2016,,polite,0.6217649,neu,0.455646266
28,U0RMHEX53,19/10/2016,,polite,0.6887206,pos,0.61782916
28,U0RFXPUFK,19/10/2016,,polite,0.834791,pos,0.692838749
28,U0RMHEX53,19/10/2016,,polite,0.9020325,pos,0.696948112
28,U0RMHEX53,19/10/2016,,impolite,0.47583959,pos,0.798038464
28,U0RFXPUFK,19/10/2016,,polite,0.6672516,neu,0.434441948
28,U0RMHEX53,19/10/2016,,polite,0.5811512,neu,0.455646266
28,U0RMHEX53,19/10/2016,,polite,0.54671764,pos,0.768998959
28,U0RFXPUFK,19/10/2016,,polite,0.501513,neu,0.455646266
28,U0RFXPUFK,19/10/2016,,polite,0.8836828,pos,0.566489507
28,U0RFXPUFK,20/10/2016,,polite,0.53229356,pos,0.878472412
28,U0RMHEX53,23/10/2016,,polite,0.7183581,neu,0.455646266
31,U0RFXPUFK,9/11/2016,,polite,0.60924804,pos,0.892005917
31,U0RMHEX53,9/11/2016,,polite,0.5517665,neu,0.455646266
31,U0RMHEX53,9/11/2016,,impolite,0.37569883,pos,0.664840283
31,U0RMHEX53,9/11/2016,,polite,0.5839962,pos,0.664840283
33,U0RMHEX53,25/11/2016,,polite,0.909421,pos,0.811024053
33,U0RFXPUFK,25/11/2016,,polite,0.91357946,pos,0.820667361
36,U0RFXPUFK,16/12/2016,,polite,0.808719,pos,0.929866857
36,U0RMHEX53,16/12/2016,,impolite,0.3802006,pos,0.497945318
36,U0RMHEX53,16/12/2016,,polite,0.7526692,pos,0.65355323
36,U0RMHEX53,16/12/2016,,polite,0.5031233,neu,0.455646266
36,U0RFXPUFK,16/12/2016,,impolite,0.055134963,neu,0.455646266
39,U0RMHEX53,3/1/2017,,impolite,0.48760316,neg,0.175880774
40,U0RMHEX53,10/1/2017,,polite,0.628122,pos,0.809161142
41,U0RMHEX53,21/1/2017,,polite,0.80004,pos,0.888828009
42,U0RMHEX53,24/1/2017,,polite,0.84457964,pos,0.566489507
42,U0RMHEX53,24/1/2017,,impolite,0.35447732,neg,0.224700016
42,U0RFXPUFK,24/1/2017,,polite,0.62332803,neg,0.410388472
42,U0RMHEX53,24/1/2017,,polite,0.8986402,pos,0.7906964
42,U0RMHEX53,24/1/2017,,impolite,0.104599796,pos,0.731795518
42,U0RMHEX53,24/1/2017,,impolite,0.3947903,neu,0.455646266
42,U0RMHEX53,24/1/2017,,impolite,0.1360644,neu,0.455646266
42,U0RMHEX53,24/1/2017,,impolite,0.31982967,neu,0.455646266
42,U0RMHEX53,24/1/2017,,impolite,0.42021567,neu,0.455646266
42,U0RMHEX53,24/1/2017,,polite,0.90282965,pos,0.79754534
42,U0RMHEX53,24/1/2017,,impolite,0.42787808,pos,0.830749
42,U0RFXPUFK,25/1/2017,,polite,0.8851501,pos,0.948660347
43,U0RMHEX53,31/1/2017,,polite,0.70533645,neu,0.455646266
46,U0RMHEX53,24/2/2017,,impolite,0.056872495,neg,0.194455098
47,U0RMHEX53,2/3/2017,,polite,0.7617942,pos,0.907731083
48,U0RMHEX53,7/3/2017,,polite,0.7522085,pos,0.804613446
48,U0RFXPUFK,10/3/2017,['U0RMHEX53'],impolite,0.21229768,neu,0.455646266
52,U0RMHEX53,6/4/2017,,impolite,0.42499313,pos,0.707029752
52,U0RMHEX53,6/4/2017,,impolite,0.21005511,pos,0.844063339
58,U0RMHEX53,20/5/2017,,impolite,0.22072858,pos,0.701221851
59,U0RMHEX53,27/5/2017,,polite,0.82459515,pos,0.675853378
59,U0RMHEX53,29/5/2017,,polite,0.519553,pos,0.828666922
59,U0RMHEX53,29/5/2017,,polite,0.8258089,pos,0.605336694
59,U0RMHEX53,29/5/2017,,polite,0.6934632,neu,0.455646266
59,U0RMHEX53,29/5/2017,,polite,0.8438295,pos,0.804613446
59,U0RMHEX53,29/5/2017,,polite,0.77292395,neu,0.455646266
59,U0RFXPUFK,29/5/2017,['U0RMHEX53'],polite,0.78377944,neu,0.455646266
59,U0RFXPUFK,29/5/2017,['U0RMHEX53'],polite,0.5557723,neu,0.455646266
59,U0RMHEX53,29/5/2017,,impolite,0.31293836,pos,0.675853378
59,U0RMHEX53,29/5/2017,,impolite,0.25374267,neu,0.455646266
59,U0RMHEX53,29/5/2017,,polite,0.8765904,pos,0.686592515
60,U0RMHEX53,30/5/2017,,polite,0.7128281,neu,0.455646266
60,U0RMHEX53,30/5/2017,,polite,0.7389986,pos,0.706372254
60,U0RFXPUFK,30/5/2017,,impolite,0.20765406,pos,0.65355323
60,U0RMHEX53,3/6/2017,,polite,0.5259178,pos,0.947619309
84,U0RMHEX53,17/11/2017,,polite,0.7910045,pos,0.75278067
86,U0RFXPUFK,28/11/2017,['U0RMHEX53'],polite,0.87153906,pos,0.804120322
329,U0RMHEX53,1/8/2022,,polite,0.8427377,pos,0.817105912
329,U0RFXPUFK,1/8/2022,['U0RMHEX53'],polite,0.76090956,neu,0.455646266
329,U03SESRETRN,1/8/2022,,polite,0.5568698,pos,0.82209194
329,U0RFXPUFK,1/8/2022,,impolite,0.23374419,neu,0.455646266
330,U03SESRETRN,2/8/2022,,impolite,0.41503012,neu,0.455646266
330,U03SESRETRN,2/8/2022,,polite,0.5437521,neu,0.455646266
330,U03SESRETRN,3/8/2022,['U0RFXPUFK'],polite,0.5807866,pos,0.726261575
330,U03SESRETRN,3/8/2022,['U03S3QBFKED'],polite,0.8397051,pos,0.874801381
330,U0RFXPUFK,3/8/2022,,polite,0.80650634,pos,0.801764287
330,U03SESRETRN,3/8/2022,['U03S3QBFKED'],polite,0.93004453,pos,0.571311161
330,U0RFXPUFK,3/8/2022,['U03S3QBFKED'],polite,0.58991003,neu,0.455646266
330,U0RFXPUFK,3/8/2022,['U03S3QBFKED'],polite,0.859876,neu,0.455646266
330,U03SESRETRN,3/8/2022,['U03S3QBFKED'],polite,0.7671574,pos,0.828666922
330,U03SESRETRN,3/8/2022,['U0RFXPUFK'],polite,0.7066401,neg,0.399375377
330,U0RFXPUFK,3/8/2022,['U03S3QBFKED'],polite,0.80411005,pos,0.853925812
330,U0RFXPUFK,3/8/2022,,polite,0.89373755,pos,0.768998959
330,U0RFXPUFK,3/8/2022,,impolite,0.22389035,neu,0.455646266
330,U03S3QBFKED,3/8/2022,['U0RFXPUFK'],polite,0.76695514,neu,0.455646266
330,U03S3QBFKED,3/8/2022,['U0RFXPUFK'],polite,0.9330536,neg,0.31866747
330,U0RFXPUFK,3/8/2022,,polite,0.84595233,pos,0.675853378
330,U0RFXPUFK,3/8/2022,['U03S3QBFKED'],polite,0.89725786,pos,0.670374226
330,U03S3QBFKED,3/8/2022,,impolite,0.24528694,neu,0.455646266
330,U03S3QBFKED,3/8/2022,['U0RFXPUFK'],polite,0.8461113,pos,0.943838694
330,U03S3QBFKED,3/8/2022,['U0RFXPUFK'],polite,0.91217566,pos,0.825872555
330,U0RFXPUFK,3/8/2022,"['U03RTJ7MJ68', 'U0RMHEX53']",polite,0.57507026,pos,0.76724563
330,U0RFXPUFK,3/8/2022,['U03S3QBFKED'],polite,0.8029499,pos,0.744616733
330,U0RFXPUFK,3/8/2022,,impolite,0.44053954,neu,0.455646266
330,U03SESRETRN,3/8/2022,,polite,0.68695694,pos,0.725549285
330,U0RFXPUFK,3/8/2022,['U03SESRETRN'],polite,0.6244708,pos,0.797490548
330,U03SESRETRN,3/8/2022,,polite,0.60283774,pos,0.798038464
330,U03S3QBFKED,3/8/2022,"['U03SESRETRN', 'U0RFXPUFK']",impolite,0.32314023,neu,0.455646266
330,U03SESRETRN,3/8/2022,['U03RTJ7MJ68'],polite,0.79307574,pos,0.822530272
330,U03SESRETRN,3/8/2022,['U0RFXPUFK'],impolite,0.1273421,neu,0.455646266
330,U03SESRETRN,3/8/2022,"['U03RTJ7MJ68', 'U03S3QBFKED', 'U0RFXPUFK']",impolite,0.3116164,pos,0.65355323
330,U0RFXPUFK,3/8/2022,,polite,0.8572128,pos,0.888828009
330,U03S3QBFKED,3/8/2022,['U0RFXPUFK'],polite,0.8200944,pos,0.53953208
330,U0RFXPUFK,3/8/2022,,polite,0.9112505,pos,0.725549285
330,U0RFXPUFK,3/8/2022,['U03S3QBFKED'],impolite,0.37177896,pos,0.900662977
330,U0RFXPUFK,3/8/2022,,polite,0.86293805,neu,0.455646266
330,U0RFXPUFK,3/8/2022,['U03S3QBFKED'],polite,0.69047225,neu,0.455646266
330,U0RFXPUFK,3/8/2022,['U03S3QBFKED'],polite,0.8647664,pos,0.941099118
330,U0RFXPUFK,3/8/2022,,polite,0.8716641,pos,0.870911183
330,U03S3QBFKED,3/8/2022,"['U03RTJ7MJ68', 'U03SESRETRN']",polite,0.6156314,pos,0.592625062
330,U03S3QBFKED,3/8/2022,['U0RFXPUFK'],impolite,0.1212564,neu,0.455646266
330,U0RFXPUFK,3/8/2022,,polite,0.92865384,pos,0.933428305
330,U0RFXPUFK,3/8/2022,['U03S3QBFKED'],polite,0.83612275,pos,0.623089146
330,U0RFXPUFK,3/8/2022,,impolite,0.45491314,neu,0.455646266
330,U03S3QBFKED,3/8/2022,['U0RFXPUFK'],polite,0.77234393,pos,0.48501452
330,U03S3QBFKED,3/8/2022,['U0RFXPUFK'],polite,0.6065045,pos,0.61782916
330,U0RFXPUFK,3/8/2022,,polite,0.7719661,pos,0.866911402
330,U03S3QBFKED,3/8/2022,['U0RFXPUFK'],polite,0.90307504,neu,0.455646266
330,U0RFXPUFK,3/8/2022,,impolite,0.3612158,neg,0.276916333
330,U03S3QBFKED,3/8/2022,['U0RFXPUFK'],polite,0.95168483,neu,0.455646266
330,U03S3QBFKED,3/8/2022,['U0RFXPUFK'],polite,0.9320079,pos,0.707029752
330,U03S3QBFKED,3/8/2022,['U0RFXPUFK'],polite,0.76894087,pos,0.768998959
330,U0RMHEX53,4/8/2022,['U03RTJ7MJ68'],polite,0.7282969,pos,0.892005917
330,U0RMHEX53,4/8/2022,['U03S3QBFKED'],impolite,0.45884266,pos,0.663963618
330,U03RTJ7MJ68,4/8/2022,,polite,0.78341395,pos,0.716837434
330,U03RTJ7MJ68,4/8/2022,,impolite,0.43395022,pos,0.768998959
330,U03SESRETRN,4/8/2022,['U03S3QBFKED'],polite,0.5513097,neu,0.455646266
330,U0RMHEX53,4/8/2022,['U03S3QBFKED'],impolite,0.111014225,neu,0.455646266
330,U03SESRETRN,4/8/2022,"['U03S3QBFKED', 'U0RMHEX53', 'U0RFXPUFK']",polite,0.8175766,pos,0.804120322
330,U03RTJ7MJ68,4/8/2022,['U0RFXPUFK'],polite,0.80799896,neg,0.345898855
330,U0RFXPUFK,4/8/2022,['U03S3QBFKED'],polite,0.87230206,pos,0.726261575
330,U03S3QBFKED,5/8/2022,,polite,0.79539555,neu,0.455646266
330,U03S3QBFKED,5/8/2022,['U0RFXPUFK'],polite,0.7780989,neu,0.455646266
330,U03SESRETRN,5/8/2022,['U03RTJ7MJ68'],polite,0.5658428,neu,0.455646266
330,U03SESRETRN,5/8/2022,['U03RTJ7MJ68'],impolite,0.11732511,pos,0.707029752
330,U03S3QBFKED,5/8/2022,"['U03RTJ7MJ68', 'U0RFXPUFK']",polite,0.90657485,pos,0.61782916
330,U03S3QBFKED,5/8/2022,,polite,0.90941364,neu,0.455646266
330,U0RFXPUFK,5/8/2022,['U03S3QBFKED'],polite,0.8565583,pos,0.776669772
330,U03S3QBFKED,5/8/2022,,impolite,0.11122617,neu,0.455646266
330,U03RTJ7MJ68,7/8/2022,,polite,0.7486701,pos,0.707029752
330,U03S3QBFKED,7/8/2022,,impolite,0.47098377,neu,0.455646266
330,U03SESRETRN,7/8/2022,"['U03RTJ7MJ68', 'U03S3QBFKED', 'U0RFXPUFK']",polite,0.66641563,neu,0.455646266
330,U03SESRETRN,7/8/2022,['U0RMHEX53'],polite,0.77633715,pos,0.967234672
330,U0RMHEX53,7/8/2022,,impolite,0.47953677,pos,0.594761931
330,U03SESRETRN,7/8/2022,,impolite,0.47526896,neu,0.455646266
330,U0RFXPUFK,8/8/2022,['U03RTJ7MJ68'],polite,0.8221928,neu,0.455646266
330,U03RTJ7MJ68,8/8/2022,"['U03S3QBFKED', 'U03SESRETRN']",polite,0.92546374,neu,0.455646266
330,U03SESRETRN,8/8/2022,['U03RTJ7MJ68'],polite,0.90083987,neu,0.455646266
330,U0RFXPUFK,8/8/2022,"['U03RTJ7MJ68', 'U03S3QBFKED', 'U03SESRETRN']",polite,0.844639,pos,0.838858145
